sample_id,true_max_mpa,pred_max_mpa,max_stress_error_mpa,max_stress_relative_error_%,field_mae_mpa,field_max_error_mpa,r2,error_bin,Nf_true_pinn,Nf_pred_pinn,Nf_true_bisec,Nf_pred_bisec,Nf_error_pinn,Nf_relative_error_pinn_%,Nf_error_bisec,Nf_relative_error_bisec_%,log_Nf_true,log_Nf_pred,log_Nf_error
2001,300.78310788185746,300.09003,0.693081026388711,0.2304255153387608,0.6977770008829162,8.830976886764915,0.9991946451324004,0-1,1732233.6,1774297.0,1728126.198496853,1769934.5330689773,42063.375,2.428274,41808.334572124295,2.4192871219989454,6.237575454178508,6.2490263,0.011450844344441435
2002,298.2888544373487,298.46106,0.1722051329638247,0.0577309981255079,0.6167813738364621,7.640304769334591,0.9993707021528264,0-1,1888963.9,1877657.2,1883855.8498933942,1872622.169241027,11306.625,0.5985623,11233.680652367184,0.5963131761383382,6.275047668100715,6.2736163,0.001431354166388843
2003,301.6153111515601,303.76755,2.152236455861725,0.7135700265495599,0.6444029761487613,8.342716046894822,0.9993412130342924,2-3,1683166.8,1563220.6,1679354.5451142797,1560089.9469169474,119946.125,7.1262174,119264.59819733235,7.1018117373908325,6.225142394012839,6.1940207,0.031121645874411463
2004,298.14049361978584,297.64493,0.4955656412702183,0.1662188303418474,0.666976335217184,8.316451678492484,0.9992746243745398,0-1,1898766.1,1931914.2,1893597.3908006651,1926516.8357484306,33148.125,1.7457718,32919.44494776544,1.7384606203880641,6.277287646504437,6.285988,0.008700207499469315
2005,302.0013062825967,304.5409,2.5395872720907846,0.8409193004332155,0.697127815530099,9.277263670965112,0.9992247571361624,2-3,1660927.8,1522445.8,1657249.560604783,1519532.1675597609,138482.0,8.337629,137717.39304502215,8.309997258033045,6.219387912542823,6.1825423,0.03684558847666075
2006,308.6276051938764,308.66245,0.0348398744829978,0.01128864492245,0.7376800884179104,10.960372022436957,0.99909476275809,0-1,1325546.6,1323994.6,1323564.4810371252,1322022.6033005258,1552.0,0.11708378,1541.8777365994174,0.11649434226213332,6.121745103987545,6.1218867,0.00014162620654722957
2007,306.79261610906724,306.79883,0.0062120159327605,0.0020248257639134,0.7757151620275502,9.65078920713684,0.999063180920724,0-1,1410249.1,1409951.8,1407891.692917134,1407593.2649681147,297.375,0.0210867,298.4279490192421,0.021196797347451005,6.148569246441289,6.1492047,0.0006354845462599457
2008,303.1167361656929,303.12128,0.0045406897758653,0.0014980003523735,3.320724127435699,21.44441535351291,0.9836259017007124,0-1,1598466.0,1598218.6,1595141.020071993,1594892.330114477,247.375,0.015475776,248.68995751603507,0.015590468453053199,6.20279908333793,6.203636,0.0008370860956636861
2009,298.5453761425168,298.59158,0.0462071094363523,0.0154774158733895,0.6880232756391642,12.932118509264484,0.9992419441560046,0-1,1872146.5,1869137.5,1867150.9901756742,1864159.6052581242,3009.0,0.1607246,2991.384917550022,0.1602111952000503,6.271179439292766,6.2716413,0.00046181513228304993
2010,309.4493381189424,309.4752,0.0258510900420105,0.0083539005767962,0.8204444415882121,26.86457152610336,0.998922362906384,0-1,1289447.1,1288330.5,1287621.6767487004,1286509.677367236,1116.625,0.08659719,1111.9993814644404,0.08636072237245075,6.109788279300547,6.110028,0.00023951076903294677
2011,301.84936282266574,301.8535,0.0041222847561357,0.0013656761497149,0.8711283337463589,20.910858648371004,0.9986894949919464,0-1,1669643.8,1669407.2,1665911.0765536986,1665676.5974508978,236.5,0.014164699,234.47910280083306,0.01407512718421348,6.221651815802624,6.2225623,0.0009104972772098208
2012,295.9185921925903,295.88907,0.0295235890746994,0.0099769294169542,1.8960207427578837,23.916761656563708,0.995168385901278,0-1,2052449.8,2054582.8,2046200.6541598618,2048318.071512427,2133.0,0.10392459,2117.4173525650986,0.10348043571682256,6.310948219171625,6.3127236,0.0017754174555726365
2013,304.58393188474,304.57547,0.0084619140368431,0.002778187931478,0.8799486099162036,24.83479668871944,0.9987443954146408,0-1,1520212.5,1520649.9,1517308.1687968317,1517741.5998656454,437.375,0.02877065,433.4310688136611,0.028565790241369075,6.181073795958674,6.1820297,0.0009559281624200722
2014,308.80233403359745,308.85843,0.0560949214806782,0.0181653165466603,0.7476422025824703,11.55713261115926,0.9991069283211232,0-1,1317778.8,1315294.0,1315833.7760720553,1313361.0873516102,2484.75,0.18855593,2472.6887204451486,0.18791801558905596,6.119201030087802,6.1190233,0.00017770702871988675
2015,292.1871586069898,292.22186,0.0347041859789669,0.0118773823409694,0.8959887080912668,10.472443698858427,0.99864490325256,0-1,2342188.0,2339294.2,2333693.350475755,2330822.7578232842,2893.75,0.12354901,2870.5926524708048,0.12300642035448212,6.368043788750648,6.369085,0.0010410463018422078
2016,303.65458090715964,303.69775,0.0431729990903591,0.0142177993697249,0.7157266670040114,12.240820431894363,0.9991960162567486,0-1,1569275.6,1566958.1,1566108.2438888354,1563806.0854249727,2317.5,0.1476796,2302.1584638627246,0.14699868114774672,6.1948217756650985,6.195058,0.00023609329242102461
2017,293.6131630303837,293.5994,0.0137672784305777,0.0046889173116373,0.7696011867232748,18.966491536384385,0.9990058639372572,0-1,2226478.8,2227562.0,2218912.276941069,2219992.3018994243,1083.25,0.048653055,1080.0249583553523,0.04867362128638293,6.346140133059633,6.34783,0.0016896856659531778
2018,289.44122738426483,289.3899,0.0513348061398346,0.0177358307258979,0.9648472381051132,14.466850284865927,0.9983933332546686,0-1,2584014.0,2588787.5,2573458.8912306433,2578184.000423448,4773.5,0.18473198,4725.109192804899,0.18360927423034623,6.410517235164668,6.4130964,0.002579192752812709
2019,299.1707936868989,299.21088,0.0400827779448604,0.0133979582200826,0.853723958187137,9.67061885832068,0.9987980116796996,0-1,1831831.8,1829279.2,1827104.801588235,1824568.1640215714,2552.5,0.1393414,2536.6375666635577,0.1388337201269764,6.261763458926753,6.26228,0.0005165284084522881
2020,291.5861285865542,291.62338,0.0372539818051791,0.0127763216946449,0.8220554715599017,11.266530686389984,0.9988866004808928,0-1,2392917.2,2389735.0,2383999.77616757,2380844.9664207953,3182.25,0.13298622,3154.809746774845,0.13233263603096473,6.37730621029253,6.37835,0.0010435707438469777
