method,runtime_s,time_per_pixel_us,valid_count,log10_Nf_MAE,Nf_mean_relative_error_%,Nf_median_relative_error_%,Nf_p95_relative_error_%
Brent relaxed xtol=5e+03,17.917449905071408,8.958724952535704,2000000,0.00048737718583071154,0.11289295309579733,0.004327278411742115,0.4715877982209355
fixed-log-bisection 13 iter,9.780581532977521,4.890290766488761,,,0.10545800843375885,,
"trust relaxed max_nfev=6, x0=5.0",50.85675046034157,25.428375230170786,2000000,0.00044029004811737963,0.09922608003043168,0.0006197180585450594,0.3196040257362031
Brent relaxed xtol=3e+03,18.38894533086568,9.19447266543284,2000000,0.0002653086947817171,0.06117087742480287,0.002717177176065173,0.32093887494883483
Brent relaxed xtol=8e+03,17.809391805902123,8.904695902951062,2000000,0.0008519811889400601,0.19846645984088948,0.006181885357945079,0.9448403302167176
"trust relaxed max_nfev=6, x0=5.5",47.18812026409432,23.59406013204716,2000000,0.00010678321504547257,0.024399984288629457,0.0005338086843869765,0.0627387148581017
"trust relaxed max_nfev=8, x0=5.0",51.13517417013645,25.567587085068226,2000000,4.3766311927873275e-05,0.010071943016945566,0.0005005747253528582,0.040834212326132956
Brent relaxed xtol=1e+04,17.245000248774886,8.622500124387443,2000000,0.0010722983300117186,0.249596003698318,0.007120147774499564,1.154316315818608
"trust relaxed max_nfev=6, x0=4.5",55.21507424302399,27.607537121511996,2000000,0.001899101576970894,0.4161232876708802,0.0009569355564696289,2.2233496023939936
"trust relaxed max_nfev=5, x0=5.0",47.432369051966816,23.716184525983408,2000000,0.009985219481555396,2.0094627547495687,0.006874688643413965,13.771303446513196
